,measure_name,Entity,sex_name,age_name,cause_name,metric_name,Year,val,upper,lower,Code,Human Development Index (UNDP),Life expectancy,Expected Years of Schooling (years),Avg_yrs_schooling,"GNI per capita, PPP",HDI_Classes
5765,Incidence,Tunisia,Both,Age-standardized,Pancreatic cancer,Rate,1991,2.069217713774943,2.5266122283434407,1.624760388378492,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
5771,Incidence,Tunisia,Both,Age-standardized,Malignant skin melanoma,Rate,1991,0.4872283774061773,0.6339716548103873,0.3632464971480773,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
5777,Incidence,Tunisia,Both,Age-standardized,Non-melanoma skin cancer,Rate,1991,7.4035124280399796,8.660607961255089,6.223959054877255,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
5781,Incidence,Tunisia,Both,Age-standardized,Ovarian cancer,Rate,1991,1.7165156535276866,2.3220784391135503,1.2836186934967766,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
5785,Incidence,Tunisia,Both,Age-standardized,Testicular cancer,Rate,1991,0.2565885288818204,0.5394267066836694,0.1303174302062485,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
5791,Incidence,Tunisia,Both,Age-standardized,Kidney cancer,Rate,1991,1.4181648442515216,1.724123219995939,1.1418920504577468,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
5797,Incidence,Tunisia,Both,Age-standardized,Bladder cancer,Rate,1991,7.461951992626377,9.162860789252193,5.993249981390868,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
5803,Incidence,Tunisia,Both,Age-standardized,Brain and central nervous system cancer,Rate,1991,1.4013805301050306,1.831956716626633,1.129130879167674,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
5809,Incidence,Tunisia,Both,Age-standardized,Thyroid cancer,Rate,1991,1.8855596889570967,2.344775186615001,1.50104888531406,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
5815,Incidence,Tunisia,Both,Age-standardized,Mesothelioma,Rate,1991,0.0488298925561486,0.1029552734023631,0.0287516911555358,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
5821,Incidence,Tunisia,Both,Age-standardized,Hodgkin lymphoma,Rate,1991,0.9460793489226604,1.1843845288179766,0.7573721774138892,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
5827,Incidence,Tunisia,Both,Age-standardized,Non-Hodgkin lymphoma,Rate,1991,1.3921729816565247,1.651394204807689,1.1569960160528383,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
5833,Incidence,Tunisia,Both,Age-standardized,Multiple myeloma,Rate,1991,1.3277535330492496,1.602315928694369,1.0617782178337856,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
5839,Incidence,Tunisia,Both,Age-standardized,Leukemia,Rate,1991,5.103217296414274,6.223191344238861,3.9662522071069257,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
5851,Incidence,Tunisia,Both,Age-standardized,Other malignant neoplasms,Rate,1991,5.861742251127183,6.767053814475054,4.973942580326178,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
5863,Incidence,Tunisia,Both,Age-standardized,Esophageal cancer,Rate,1991,0.9131595336886092,1.08239608286418,0.7446228895579795,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
5869,Incidence,Tunisia,Both,Age-standardized,Stomach cancer,Rate,1991,6.833230615482601,8.149465777621371,5.708895521718987,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
5875,Incidence,Tunisia,Both,Age-standardized,Liver cancer,Rate,1991,1.8533558525819087,2.289998328162541,1.4646816678931154,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
5881,Incidence,Tunisia,Both,Age-standardized,Larynx cancer,Rate,1991,3.5885419925706104,4.374916811733285,2.9409905639274005,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
5887,Incidence,Tunisia,Both,Age-standardized,"Tracheal, bronchus, and lung cancer",Rate,1991,19.72169226944888,23.64622261398964,16.13532089282083,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
5893,Incidence,Tunisia,Both,Age-standardized,Breast cancer,Rate,1991,13.198943351808625,16.195562492868714,10.798014742246943,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
5897,Incidence,Tunisia,Both,Age-standardized,Cervical cancer,Rate,1991,3.207654250903321,3.96841883752108,2.383818859540256,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
5901,Incidence,Tunisia,Both,Age-standardized,Uterine cancer,Rate,1991,1.3177714909337153,1.645273709100383,0.9970668099850284,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
5907,Incidence,Tunisia,Both,Age-standardized,Prostate cancer,Rate,1991,6.094792276732112,7.865899024245428,4.6897128916105375,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
5913,Incidence,Tunisia,Both,Age-standardized,Colon and rectum cancer,Rate,1991,9.52851539076781,11.41758868100538,7.77609230220477,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
5919,Incidence,Tunisia,Both,Age-standardized,Lip and oral cavity cancer,Rate,1991,2.1393692875363004,2.563212104483397,1.7282957872417055,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
5925,Incidence,Tunisia,Both,Age-standardized,Nasopharynx cancer,Rate,1991,3.2060185594567514,3.8614574808667466,2.6449123843013664,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
5931,Incidence,Tunisia,Both,Age-standardized,Other pharynx cancer,Rate,1991,0.56328563766549,0.676302034170754,0.4627751746128714,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
5937,Incidence,Tunisia,Both,Age-standardized,Gallbladder and biliary tract cancer,Rate,1991,2.486988896866116,3.036530265145347,1.9932122496364488,TUN,0.575,69.407,10.6,3.6,5707.12109375,Medium
12245,Incidence,Tunisia,Both,Age-standardized,Esophageal cancer,Rate,1990,0.8888657953256826,1.0700016278374722,0.7178450785258669,TUN,0.569,68.792,10.5,3.43,5655.51513671875,Medium
12251,Incidence,Tunisia,Both,Age-standardized,Stomach cancer,Rate,1990,6.681957595654686,7.914599915447486,5.561227386299037,TUN,0.569,68.792,10.5,3.43,5655.51513671875,Medium
12257,Incidence,Tunisia,Both,Age-standardized,Liver cancer,Rate,1990,1.873303443798852,2.3739697491661573,1.453906542783981,TUN,0.569,68.792,10.5,3.43,5655.51513671875,Medium
12263,Incidence,Tunisia,Both,Age-standardized,Larynx cancer,Rate,1990,3.4645839128002343,4.28768457894408,2.8071231524547,TUN,0.569,68.792,10.5,3.43,5655.51513671875,Medium
12269,Incidence,Tunisia,Both,Age-standardized,"Tracheal, bronchus, and lung cancer",Rate,1990,19.12505449640816,23.03906349098331,15.316985290612028,TUN,0.569,68.792,10.5,3.43,5655.51513671875,Medium
12275,Incidence,Tunisia,Both,Age-standardized,Breast cancer,Rate,1990,12.666563964665366,15.610403356655054,10.353679257963003,TUN,0.569,68.792,10.5,3.43,5655.51513671875,Medium
12279,Incidence,Tunisia,Both,Age-standardized,Cervical cancer,Rate,1990,3.1760597577241274,3.942254943886846,2.3242259810274617,TUN,0.569,68.792,10.5,3.43,5655.51513671875,Medium
12283,Incidence,Tunisia,Both,Age-standardized,Uterine cancer,Rate,1990,1.274631086261815,1.6112493197664697,0.9669173718733084,TUN,0.569,68.792,10.5,3.43,5655.51513671875,Medium
12289,Incidence,Tunisia,Both,Age-standardized,Prostate cancer,Rate,1990,5.899275640228861,7.768632784725219,4.365266783793542,TUN,0.569,68.792,10.5,3.43,5655.51513671875,Medium
12295,Incidence,Tunisia,Both,Age-standardized,Colon and rectum cancer,Rate,1990,9.162680417445154,10.972905409525977,7.394294788540855,TUN,0.569,68.792,10.5,3.43,5655.51513671875,Medium
12301,Incidence,Tunisia,Both,Age-standardized,Lip and oral cavity cancer,Rate,1990,2.07505413722528,2.5020834269702834,1.670703396763707,TUN,0.569,68.792,10.5,3.43,5655.51513671875,Medium
12307,Incidence,Tunisia,Both,Age-standardized,Nasopharynx cancer,Rate,1990,3.1128438730342505,3.7311428555446553,2.5508246441338644,TUN,0.569,68.792,10.5,3.43,5655.51513671875,Medium
12313,Incidence,Tunisia,Both,Age-standardized,Other pharynx cancer,Rate,1990,0.5529659912831719,0.6616490797739732,0.454404053280121,TUN,0.569,68.792,10.5,3.43,5655.51513671875,Medium
12319,Incidence,Tunisia,Both,Age-standardized,Gallbladder and biliary tract cancer,Rate,1990,2.449053508565271,3.028852471760684,1.9558039293681,TUN,0.569,68.792,10.5,3.43,5655.51513671875,Medium
12325,Incidence,Tunisia,Both,Age-standardized,Pancreatic cancer,Rate,1990,1.972763035208179,2.446386401361455,1.517540393909388,TUN,0.569,68.792,10.5,3.43,5655.51513671875,Medium
12331,Incidence,Tunisia,Both,Age-standardized,Malignant skin melanoma,Rate,1990,0.4745767091667597,0.6233601585852553,0.3545574015141056,TUN,0.569,68.792,10.5,3.43,5655.51513671875,Medium
12337,Incidence,Tunisia,Both,Age-standardized,Non-melanoma skin cancer,Rate,1990,7.285954476532028,8.706284718211036,5.994637421672446,TUN,0.569,68.792,10.5,3.43,5655.51513671875,Medium
12341,Incidence,Tunisia,Both,Age-standardized,Ovarian cancer,Rate,1990,1.6521385773279469,2.2742454172205924,1.229059639455985,TUN,0.569,68.792,10.5,3.43,5655.51513671875,Medium
12345,Incidence,Tunisia,Both,Age-standardized,Testicular cancer,Rate,1990,0.2422161604120598,0.5210417629271191,0.1256848889625447,TUN,0.569,68.792,10.5,3.43,5655.51513671875,Medium
12351,Incidence,Tunisia,Both,Age-standardized,Kidney cancer,Rate,1990,1.3574622175488804,1.6518492680817334,1.0795021410112158,TUN,0.569,68.792,10.5,3.43,5655.51513671875,Medium
